tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	بالنسبة لمتوسط أمريكان المتوسط أفضل طريقة لمعرفة ما إذا كان لديك covid-19 هو السعال في وجه شخص غني	no	nan	nan	nan	nan	no	no
2	هذا هراء	no	nan	nan	nan	nan	no	no
3	هل يمكنكم من فضلكم أن تتبعوا تعليمات الحكومة حتى نتمكن من التخلص من هذا الكوفيد-19 وننتهي؟ أشعر وكأنني أحد الرواد الذين يستمرون بفقدان المزيد من وقت الراحة لأن طفل أو طفلين لا يستطيع اتباع الإتجاهات.	no	nan	nan	nan	nan	no	no
4	لا أقصد الإهانة لكن فيروس الكورونا يختفي قبل ابريل في الواقع تمتص قبل ابريل ابريل في الواقع	no	nan	nan	nan	nan	no	no
5	هذا هو وجه الشخص الذي قضى للتو 9 ساعات في معدات الحماية الشخصية تتحرك بشكل خطير المرضى في جميع أنحاء لندن. أشعر بالكسر - ونحن فقط في البداية. أنا أتوسّل إلى الناس، رجاءً قوموا بالعزل الاجتماعي وعزلة ذاتية #covid19 URL.	yes	no	yes	no	yes	no	no
6	بالأمس طرقت باب تينانت وأخبرته أنه يستطيع البقاء في مسكن الإيجار مجاناً لمدة 5 أشهر. إنه يعمل لحسابه الخاص مع 4 أطفال. لا أحتاج إلى بوريس ليقول لي ما هو صحيح أخلاقياً. مالكو الأراضي، إذا استطعتم، أفعلوا المزيد، افعلوا شيئاً. #COVID19#Benice#	yes	no	no	no	no	no	no
7	"بعد انتهاء COVID-19، من الأفضل ألا أسمع أي شخص يهزأ بالعمال ""الضعفاء"" مرة أخرى. أولئك الناس في متجر البقالة،"	no	nan	nan	nan	nan	no	no
8	هذا هو الدكتور أسامة رياز. قضى الأسابيع الماضية في فحص وعلاج المرضى المصابين بفيروس كورونا في باكستان. كان يعرف أنه لم يكن هناك PPP. لقد استمر على أي حال. اليوم خسر معركته الخاصة مع فيروس الكورونا ولكنه أعطى الحياة والأمل للكثيرين أكثر من ذلك. أعرف اسمه URL.	yes	no	yes	no	no	no	no
9	:: تقليدها في أن ينشر الأوروبيون مرضاً قاتلاً محتملاً إلى كل بلد آخر لا يسكنه بصورة كاملة أشخاص من البيض والبيض؛ لا تحاسبه على ما لحقه من دمار وامب؛	yes	yes	yes	yes	no	yes	yes
10	عندما يمرر هذا الكورونا علينا أن نعد بعضنا أننا سنخبر أطفالنا أننا نجونا من زومبي في عام 2020	no	nan	nan	nan	nan	no	no
