tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	За средностатистическия американец, най-добрият начин да се каже, ако имате гной, е да се изкашляте в лицето на богат човек и да изчакате резултатите от теста.	no	nan	nan	nan	nan	no	no
2	Това са просто глупости.	no	nan	nan	nan	nan	no	no
3	Може ли да следвате инструкциите на правителството, за да можем да изхвърлим тази кола и да бъде направена?! Чувствам се като детска градина, която продължава да губи повече време за почивка, защото едно или две деца не могат да следват посоката.	no	nan	nan	nan	nan	no	no
4	Не се обиждайте, но...	no	nan	nan	nan	nan	no	no
5	Това е лицето на човек, който е прекарал 9 часа в лични предпазни средства, които се движат в критично състояние.	yes	no	yes	no	yes	no	no
6	Вчера почуках на вратата и му казах, че може да остане в наемния имот безплатно за 5 месеца. Той е самонает с 4 деца. Не е нужно да ми казва какво е морално правилно. Хазяи, ако можете, направете повече, направете нещо.	yes	no	no	no	no	no	no
7	"Тези хора в бакалията, Dollar Jenners, тези работници за бързо хранене, служителите на ""Уолмарт"", тези хора, които дори не си мислил, че заслужават да имат заплата, за да оцелеят?"	no	nan	nan	nan	nan	no	no
8	Днес загуби собствената си битка с коронавируса, но даде живот и надежда на още много други.	yes	no	yes	no	no	no	no
9	факти и факти: нейната традиция за европейците да разпространяват потенциално фатално заболяване във всяка друга страна, която не е изцяло овладяна от бели хора.	yes	yes	yes	yes	no	yes	yes
10	Когато всичко свърши, трябва да си обещаем, че ще кажем на децата си, че сме оцелели от зомби апокалипсис през 2020 г.	no	nan	nan	nan	nan	no	no
11	Така че недостиг на въздух е корона симптом правилно, но знаете ли какво също ми дава недостиг на въздух? Безпокойство. И знаете ли какво ме притеснява?	no	nan	nan	nan	nan	no	yes
12	"""Младите хора не са изложени на риск, те ще имат само леки симптоми"" Грешно. Искам да отворя за трудностите, които преживях през последните дни, какво беше в ICU..."	yes	no	yes	no	yes	no	yes
13	Майка ми има докторска степен по Coronavir от Whats App University	yes	yes	no	no	no	no	no
14	Той е казал на богати приятели, но след това е осребрил нещо на стойност $ 1,4 млн. на борсата.	yes	nan	yes	yes	yes	yes	yes
15	Бъдете сигурни, че няма да ви хареса.	no	nan	nan	nan	nan	no	no
